Uak / V,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,4,6,8
I  / 10(-11)A  d =2mm,-1,0.8,7,19,38,65,98,127,145,189,240,295
I  / 10(-11)A  d =4mm,-3.5,2.1,23,66,119,221,341,452,503,678,845,1033
