Uak / V,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,4,6,8
I  / 10(-11)A  d =2mm,,,,,,,,,,,,
I  / 10(-11)A  d =4mm,,,,,,,,,,,,
